,year,month,marketing_source,number_customers,number_leads,CR%
0,2022,12,Google,985,18332,0.053731180449487236
1,2022,12,Meta,186,5646,0.03294367693942614
2,2022,12,Other,307,19047,0.016118023835774663
3,2023,1,Google,2366,34532,0.06851615892505503
4,2023,1,Meta,507,14067,0.03604179995734698
5,2023,1,Other,769,31127,0.024705239823947057
6,2023,2,Google,2398,36784,0.0651913875598086
7,2023,2,Meta,610,10704,0.05698804185351271
8,2023,2,Other,512,14201,0.03605379902823745
9,2023,3,Google,1354,18455,0.07336765104307776
10,2023,3,Meta,263,4929,0.05335767904240211
11,2023,3,Other,236,6190,0.03812600969305331
